STATIONSKENNUNG,STATIONSNAME,STATIONS_ID,MaxvonGERAETETYP_NAME,MinvonVON_DATUM,GEOGR_BREITE,GEOGR_LAENGE,STATIONSHOEHE,Niederschlag 1 Min,Schnee manuell,Wind 10 Min,Temperatur und Feuchte 2 m 10 Min,Sonne 10 Min,Erdbodentemperaturen Standard 10 Min,HEADING_BUFR1,HEADING_BUFR2,HEADING_BUFR3,HEADING_BUFR4,HEADING_BUFR5,HEADING_BUFR6,HEADING_BUFR7
J709,Merzig,3263,AMDA III / N,01-Sep-04,49.456620,6.626599,171.0,1,1,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
J728,Weiskirchen/Saar,5433,AMDA III / S,01-Sep-04,49.553365,6.811951,380.0,1,1,,1,1,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
J731,Nohfelden-Gonnesweiler,3625,AMDA III / N,01-Sep-04,49.556788,7.071557,402.5,3,3,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
J812,Schmelz-Hüttersdorf,4490,MODES III N,01-Jul-04,49.414918,6.836007,223.0,3,3,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
J815,Neunkirchen-Wellesweiler,3545,AMDA III / S,01-Mar-05,49.343983,7.229738,236.0,1,1,,1,,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
J846,Homburg/Saar,2331,AMDA III / N,01-Aug-04,49.327792,7.353336,235.0,1,1,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
J908,Saarbrücken-Burbach,6217,MODES III S,01-Oct-04,49.240557,6.935134,190.0,2,2,,2,,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
K017,Hilgenroth,2211,AMDA III / S,01-Oct-04,50.737065,7.652755,295.0,1,1,,1,,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
K026,Wallmenroth,7499,AMDA III / N,01-Jul-07,50.789312,7.827955,172.0,1,1,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
K038,"Neuenahr, Bad-Ahrweiler",3490,AMDA III / S,01-Sep-04,50.534561,7.085337,111.0,2,2,,2,2,2,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
K057,Hümmerich,2362,MODES III S,01-Aug-04,50.565053,7.484345,328.0,2,2,,2,,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
K158,Neuwied-Feldkirchen-Hüllenberg,15044,AMDA III / W,01-Oct-11,50.451705,7.405769,199.2,,,1,,,,ISMD76 AMDW,ISID76 AMDW,ISND76 AMDW,ISXD76 AMDW,ISAD76 AMDW,ISHD76 AMDW,ISGD76 AMDW
K210,Schneifelforsthaus,4508,AMDA III / S,01-Aug-04,50.296848,6.419387,649.0,4,4,,4,,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
K212,Roth bei Prüm,4279,AMDA III / W,30-Sep-08,50.304613,6.386244,593.0,,,2,,,,ISMD76 AMDW,ISID76 AMDW,ISND76 AMDW,ISXD76 AMDW,ISAD76 AMDW,ISHD76 AMDW,ISGD76 AMDW
K219,Lissendorf,2213,AMDA III / N,01-Nov-02,50.310518,6.623578,407.0,1,1,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
K230,Rodder,4219,AMDA III / N,01-Oct-04,50.396548,6.856804,512.0,1,1,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
K282,Montabaur,3340,AMDA III / S,01-May-05,50.438264,7.806121,265.0,1,1,,1,,1,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
K295,Holzheim bei Diez,978,AMDA III / N,01-Feb-05,50.357409,8.048498,155.0,3,3,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
K300,Winterspelt,5616,MODES III N,01-Aug-04,50.228181,6.207111,426.0,2,2,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
K308,Lauperath-Scheidchen,200,AMDA III / N,01-Dec-04,50.084966,6.316098,517.0,1,1,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
K310,Prüm-Watzerath,4017,AMDA III / N,01-Nov-02,50.180668,6.350901,386.0,2,2,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
K318,Densborn,942,AMDA III / N,01-Nov-04,50.122010,6.599032,308.0,1,1,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
K326,Oberstadtfeld,3602,AMDA III / N,01-Oct-05,50.174888,6.770026,421.0,1,,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
K354,Kail,723,AMDA III / N,01-Dec-04,50.184128,7.240018,290.0,1,1,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
K380,Oberbachheim,1598,AMDA III / N,01-Dec-05,50.248002,7.745633,328.0,2,2,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
K386,Nastätten,6186,AMDA III / S,01-Aug-04,50.198862,7.865117,268.0,1,1,,1,,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
K419,Olsdorf,1964,AMDA III / S,01-May-05,49.944479,6.382110,328.0,3,,,3,,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
